cf,denominazione,sito,categoria,trovata,metodo,url,errore
01502970666,A.M.A. -  AZIENDA MOBILITA' AQUILANA - SOCIETA' PER AZIONI,https://www.ama.laquila.it,controllo_pubblico,SI,link_in_homepage,http://www.pa33.it/trasparenza/amalaquila,
02047620303,A&T 2000 S.P.A.,https://www.aet2000.it,controllo_pubblico,SI,redirect,https://www.aet2000.it/amministrazione-trasparente,
02967830163,A T B  SERVIZI S.P.A.,https://www.atb.bergamo.it,controllo_pubblico,SI,link_in_homepage,https://www.atb.bergamo.it/il-gruppo/societa-trasparente,
91006090798,A.KR.E.A. S.P.A. - AZIENDA KROTONESE PER L'ENERGIA E L'AMBIENTE,https://www.akreaspa.it,controllo_pubblico,SI,redirect,https://www.akreaspa.it/amministrazione-trasparente,
01937820833,A.M.A.M. AZIENDA MERIDIONALE ACQUE MESSINA S.P.A.,https://amam.it,controllo_pubblico,SI,redirect,https://amam.it/amministrazione-trasparente,
12015260156,A.M.A. AZIENDA MULTISERVIZI AMBIENTALI DI ROZZANO S.P.A.,https://www.amarozzano.it,controllo_pubblico,SI,link_in_homepage,https://www.amarozzano.it/societa-trasparente/,
06601560821,A.M.B. S.P.A. AZIENDA MULTISERVIZI COMUNE DI BAGHERIA,https://www.ambspa.it,controllo_pubblico,SI,link_in_homepage,https://ambspa.portaletrasparenza.net/,
10179110969,A.S.M. FARMACIE COMUNALI GARBAGNATE MILANESE S.R.L,https://WSTHMSJL,controllo_pubblico,NO,,,connessione_rifiutata
01935420768,A.M.A. S.R.L.,https://www.amautility.it,controllo_pubblico,SI,link_in_homepage,http://www.amautility.it/amministrazione-trasparente,
00396610750,'SOCIETA' TRASPORTI PUBBLICI DI TERRA D'OTRANTO' *S.P.A.,https://www.stplecce.it,controllo_pubblico,NO,,,
04252610284,A.S.P. S.R.L. - (ANGUILLARA VENETA SERVIZI E PATRIMONIO) IN LIQUIDAZIONE,https://www.aspsrl.com,controllo_pubblico,NO,,,connessione_rifiutata
01177760491,A.S.A. - AZIENDA SERVIZI AMBIENTALI S.P.A.,https://www.asaspa.it,controllo_pubblico,SI,link_in_homepage,https://www.asaspa.it/societa-trasparente-2/,
02279540120,"'AZIENDA MULTISERVIZI COMUNALI S.P.A.',  IN BREVE 'AMSC SPA'",https://www.amsc.it,controllo_pubblico,SI,link_in_homepage,https://www.amsc.it/altri-contenuti-trasparenza/,
00457550432,A.P.M. AZIENDA PLURISERVIZI MACERATA S.P.A.,https://www.apmgroup.it,controllo_pubblico,SI,link_in_homepage,https://www.apmgroup.it/societa_trasparente/disposizionigenerali/,
03636380655,A.C.S.E. - S.P.A. (AZIENDA COMUNALE SERVIZI ESTERNI),https://www.acsespa.it,controllo_pubblico,SI,redirect,https://www.acsespa.it/amministrazione-trasparente,
90012310661,A.C.I.A.M. S.P.A,https://www.aciam.it,controllo_pubblico,SI,link_in_homepage,https://www.aciam.it/amministrazione-trasparente/,
12990150158,A.S.M. AZIENDA SPECIALE MULTISERVIZI S.R.L.,https://www.asmmagenta.it,controllo_pubblico,SI,link_in_homepage,https://www.asmmagenta.it/societa_trasparente/,
01747910188,A.S.M. PAVIA S.P.A.,https://www.asm.pv.it,controllo_pubblico,SI,link_in_homepage,https://www.asm.pv.it/societa-trasparente/,
01121810194,A.S.M. CASTELLEONE S.R.L.,https://www.asmcastelleone.it,controllo_pubblico,SI,redirect,https://www.asmcastelleone.it/amministrazione-trasparente,
01537000026,A.T.A.P. - AZIENDA TRASPORTI AUTOMOBILISTICI PUBBLICI DELLE PROVINCE DI BIELLA E VERCELLI - S.P.A.,https://www.atapspa.it,controllo_pubblico,SI,link_in_homepage,https://www.atapspa.it/societa-trasparente-l-1902012-e-d-lgs-332013/,
02934390929,ABBANOA S.P.A,https://www.abbanoa.it,controllo_pubblico,SI,link_in_homepage,https://www.abbanoa.it/societa-trasparente,
04626760963,A.SE.R-AZIENDA SERVIZI DEL RHODENSE S.P.A. (IN BREVE A.SE.R SPA),https://www.aserspa.net,controllo_pubblico,SI,redirect,https://www.aserspa.net/amministrazione-trasparente,
01594300434,A.S.P.P. S.R.L.,https://www.farmaciecomunalipotenzapicena.it,controllo_pubblico,SI,link_in_homepage,https://www.farmaciecomunalipotenzapicena.it/amministrazione-trasparente,
02244850125,A.V.T. - Azienda Varesina Trasporti e Mobilit? S.r.l.,https://www.avtvarese.it,controllo_pubblico,SI,link_in_homepage,https://avtvarese.portaletrasparenza.net/,
02078000037,ACQUA NOVARA.VCO S.P.A.,https://www.acquanovaravco.eu,controllo_pubblico,NO,,,
01707020515,ACI AREZZO PROMOSERVICE S.R.L.,https://arezzo.aci.it,controllo_pubblico,SI,link_in_homepage,https://arezzo.aci.it/amministrazione-trasparente,
